problem,tf,K,#,err_v_B4,Z,p
1,2,40,99,0.9325850862247202,25.44643983380869,0
1,2,64,99,0.9349463605659164,25.953880356361147,0
1,2,128,100,0.9524176244863337,30.933641037562072,0
1,3,40,99,0.8614109073104133,16.703619203166024,0
1,3,64,100,0.8803839829856853,18.37668751224295,0
1,3,128,100,0.8908760683136875,19.415062605042674,0
1,4,40,99,0.87097935225019,17.459412280637927,0
1,4,64,99,0.906362678711631,21.128108927550176,0
1,4,128,100,0.9141335591732421,22.321575312757012,0
2,7,40,91,0.6767677545043512,8.672431233853604,8.948397578478762e-14
2,7,64,83,0.728657681503478,9.575308852735885,2.886579864025407e-15
2,8,40,99,0.8643984208423393,16.93160371156544,0
2,8,64,99,0.8020143497507225,13.224279702733112,0
3,12,40,98,0.9621506954159381,34.59263010670868,0
3,12,64,99,0.9449444860578411,28.44056021638962,0
3,15,40,99,0.91254012417448,21.974961896459014,0
3,15,64,100,0.8030971717027674,13.342757441130937,0
3,20,40,100,0.899871582375529,20.424563092847123,0
3,20,64,100,0.37247425038969884,3.9732090357920256,6.77651599385598e-05
4,12,64,47,0.33725718718968656,2.403186561375203,0.010218261038035248
4,12,128,34,0.26604393163136353,1.5612373254295522,0.06415217299153331
4,15,64,91,0.9263185131937013,23.1959469857971,0
4,15,128,91,0.9141438295293679,21.273379857595454,0
4,25,64,96,0.9735109587904609,41.28115889799311,0
4,25,128,100,0.9409028038284274,27.502518695122696,0
5,7,40,100,0.6407328689953168,8.261565666249231,3.4983127505938683e-13
5,7,64,100,0.5354094358796162,6.275549557464614,4.7503000422111086e-09
5,8,40,100,0.3929043855716273,4.229711183675154,2.6328304386979973e-05
5,8,64,100,0.6890411455449413,9.412101795586869,1.1102230246251565e-15
6,7,40,100,0.550961953641099,6.535705968982684,1.4286934968410492e-09
6,7,64,100,0.49533250349702207,5.6446667994592605,8.058016720546846e-08
6,8,40,100,0.6106986346771582,7.634663114104195,7.56916751498693e-12
6,8,64,100,0.681528415443194,9.219546435456177,2.9976021664879227e-15
7,125,1000,100,0.8558917635703888,16.38366883916835,0
7,150,1000,100,0.9036834149236402,20.892068853162765,0
8,10,32,33,0.4744846262731789,3.001166949989194,0.0026365628285975884
8,10,64,97,0.9635304764897274,35.09485002349634,0
8,15,32,100,0.9460508072822359,28.90399916364156,0
8,15,64,100,0.7011497256821356,9.734770271464678,2.220446049250313e-16
9,10,32,41,0.626019603034184,5.013406602761976,6.002627100487601e-06
9,10,64,99,0.9746804180722385,42.9310423463455,0
9,15,32,100,0.9434498911903586,28.172700629795937,0
9,15,64,100,0.5755122673871381,6.966652634519352,1.8828727466058126e-10
