problem,tf,K,N,\delta_v_B4,\tau_1,p_1
1,2,40,99,0.11944681182547148,1.7517149460508148,0.03991141779395002
1,2,64,49,-0.010512541057575818,-0.10656485742215831,0.45756709974730253
1,2,128,100,0.023039882660818668,0.3396465336215473,0.36706136518594346
1,3,40,99,-0.08088648894481827,-1.1862189492779531,0.11776792239800696
1,3,64,100,-0.11208880845047368,-1.65237713266289,0.04922884709324944
1,3,128,99,0.01607203329305776,0.23570006183180475,0.4068327109550238
1,4,40,99,0.0217500189999461,0.31896902710776387,0.3748749998720773
1,4,64,49,-0.12813173018604615,-1.2988619481957242,0.09699565521756144
1,4,128,100,-0.05551505461260702,-0.8183850647402942,0.20656867357126787
2,7,40,81,0.07173387414122197,0.94789407955685,0.17159168962549698
2,7,64,87,-0.013061521881712484,-0.1791357950830985,0.4289155380805858
2,8,40,99,-0.2579263264113858,-3.7825488520779285,7.761530751016177e-05
2,8,64,97,-0.22500910809425786,-3.265136189598124,0.0005470572838254003
3,12,40,97,-0.4581314945426932,-6.648005207857613,1.4854589871110752e-11
3,12,64,97,-0.4056880908163197,-5.8869922121483205,1.966436192748522e-09
3,15,40,99,-0.30532864854092756,-4.477714799856927,3.7723150329798864e-06
3,15,64,100,-0.30865388496178586,-4.550076216072595,2.6813243964689696e-06
3,20,40,100,-0.3306850679809451,-4.874852824278353,5.444480289569603e-07
3,20,64,49,0.15080904819917948,1.528740257117522,0.06316442406277623
4,12,64,38,-0.18860195974111732,-1.6668733721947673,0.047769793340027275
4,12,128,22,-0.3939017224172456,-2.565766228528792,0.005147409233632038
4,15,64,49,-0.4529974096040491,-4.592001505884666,2.1950760006072525e-06
4,15,128,45,-0.5841909896319827,-5.657595631390935,7.675414281772919e-09
4,25,64,50,-0.25575002517077644,-2.620657916317874,0.004388013714728335
4,25,128,50,0.12511747625060995,1.2820726191011194,0.09990858649852008
5,7,40,100,0.0020970167774312346,0.030913546300822985,0.4876692433505365
5,7,64,100,0.029126351354688385,0.4293712958654302,0.33382651973693434
5,8,40,100,0.027187960870496963,0.4007961673175657,0.3442851004539359
5,8,64,100,-0.07631103588359735,-1.1249527263873829,0.13030453357762906
6,7,40,100,-0.1821331421751307,-2.684948153081675,0.003627052910461167
6,7,64,100,-0.0037664404952181827,-0.055523653359058574,0.4778606431790036
6,8,40,100,-0.10584100511179191,-1.5602740270189919,0.05934756922344557
6,8,64,100,0.0645039262462529,0.950896116835574,0.17082855662124574
7,125,1000,49,-0.04494192900797797,-0.4555730370784707,0.32434851787526686
7,150,1000,98,-0.08600268334326751,-1.2546400157483097,0.10480473506009146
8,10,32,29,-0.36026206795651755,-2.7436741682061623,0.0030377904550214726
8,10,64,100,-0.3575246284532469,-5.2705129850762065,6.802150031645355e-08
8,15,32,100,-0.31760256393831104,-4.681994760954663,1.420483718796633e-06
8,15,64,100,0.052426436890311186,0.7728536565077408,0.21980449713748795
9,10,32,50,-0.3668168997043009,-3.7587547113919113,8.538057152934836e-05
9,10,64,99,-0.4082040289478081,-5.986405895795976,1.072643069191873e-09
9,15,32,99,-0.19550075714063128,-2.867063532410381,0.002071499168517568
9,15,64,99,-0.08082220842222186,-1.1852762606414693,0.11795411820292315
