problem,tf,K,N,err_v_log_sens_norm,\tau,p
1,2,40,99,-0.756338899196042,-11.091883774488492,6.868209700018247e-29
1,2,64,49,-0.6836734693877551,-6.930347799794359,2.099036064852309e-12
1,2,128,100,-0.6448484848484849,-9.506148786181031,9.892599358392793e-22
1,3,40,99,-0.7167594310451453,-10.511441778112971,3.825736608700836e-26
1,3,64,100,-0.7094949494949495,-10.459146158229254,6.652459552008427e-26
1,3,128,99,-0.658214801071944,-9.652871325140845,2.389913800676032e-22
1,4,40,99,-0.7245928674500103,-10.62632092322896,1.1240337179756861e-26
1,4,64,49,-0.7857142857142857,-7.964728068420383,8.279375549331543e-16
1,4,128,100,-0.6719191919191919,-9.905216435726224,1.9755680532550558e-23
2,7,40,81,-0.678395061728395,-8.964337564523394,1.5607573853193271e-19
2,7,64,87,-0.6230954290296712,-8.54561176735098,6.392857747112962e-18
2,8,40,99,-0.6594516594516594,-9.67101013752758,2.0020307543288355e-22
2,8,64,97,-0.5579896907216495,-8.097060372483725,2.815156721340035e-16
3,12,40,97,-0.041237113402061855,-0.5983970714075731,0.27478750970141114
3,12,64,97,-0.15549828178694158,-2.256455623432724,0.012021055740206154
3,15,40,99,-0.07194392908678623,-1.055074253828423,0.1456956830017942
3,15,64,100,-0.01292929292929293,-0.19059947440964473,0.4244197010017924
3,20,40,100,-0.317979797979798,-4.6875558237621995,1.3824364809608637e-06
3,20,64,49,-0.4608843537414966,-4.671950879960875,1.4917615940420824e-06
4,12,64,38,-0.5817923186344239,-5.1419090523254685,1.3598038428293677e-07
4,12,128,22,-0.6103896103896104,-3.975908099542604,3.5055599386286713e-05
4,15,64,49,-0.41836734693877553,-4.240959101366697,1.1128334656169012e-05
4,15,128,45,-0.5252525252525253,-5.086806275662993,1.8207172557693937e-07
4,25,64,50,-0.3893877551020408,-3.990037155398145,3.303147282423943e-05
4,25,128,50,-0.26040816326530614,-2.6683896280335606,0.00381079077138103
5,7,40,100,-0.591919191919192,-8.725882187816548,1.3205676675140433e-18
5,7,64,100,-0.5656565656565656,-8.338727005421957,3.754727768908053e-17
5,8,40,100,-0.5951515151515151,-8.773532056418958,8.657381231598715e-19
5,8,64,100,-0.534949494949495,-7.88605325369905,1.5594677733120813e-15
6,7,40,100,-0.602020202020202,-8.874788027199083,3.5033366263079726e-19
6,7,64,100,-0.5034343434343435,-7.421467034825541,5.791504278567625e-14
6,8,40,100,-0.6234343434343435,-9.190468406690057,1.9556720824854544e-20
6,8,64,100,-0.5878787878787879,-8.666319852063534,2.231560039428049e-18
7,125,1000,49,-0.45068027210884354,-4.568512853098272,2.4559847623863684e-06
7,150,1000,98,-0.17147065011571638,-2.501479381787179,0.006183782180037348
8,10,32,29,-0.12807881773399016,-0.9754192155293677,0.16467617792830025
8,10,64,100,-0.8965656565656566,-13.2168823035938,3.5055114959316116e-40
8,15,32,100,-0.6472727272727272,-9.541886187632837,7.012887058569004e-22
8,15,64,100,-0.41575757575757577,-6.128964348985138,4.42264708344576e-10
9,10,32,50,-0.363265306122449,-3.7223617068179764,9.868400645518416e-05
9,10,64,99,-0.9076479076479076,-13.310865156465749,1.0007527313348203e-40
9,15,32,99,-0.6392496392496393,-9.37474286854424,3.467229258026566e-21
9,15,64,99,-0.47557204700061845,-6.974373362699634,1.5361857481483004e-12
